Category,Troop,Focal,Species,Age,Sex,Month,Day,Year,Time,Side,Note
Eat,Maddie,Maddie,Emon,16,F,6,28,2022,15:20:00,R,Eat pineapple with right hand
Eat,Maddie,Maddie,Emon,16,F,6,28,2022,15:01:49,R,Eat banana slice with right hand
Eat,Maddie,Maddie,Emon,16,F,6,28,2022,15:08:07,R,Eat banana slice with right hand
Eat,M,Randy,Lcat,16,M,6,27,2022,9:53:59,R,"Randy grabs his poop with his right hand and licks it. He does this for about 5 minutes, always grabbing with his right hand."
Eat,M,Randy,Lcat,16,M,6,27,2022,9:59:45,R,"Forage for pinecone with right hand. Eats with both hands at first, then moves to just right hand."
Eat,M,Randy,Lcat,16,M,6,23,2022,10:05:59,R,Eat chow with right hand. Now locked in outdoor cage.
Eat,M,Randy,Lcat,16,M,6,23,2022,10:07:43,R,Eat chow with right hand.
Eat,M,Randy,Lcat,16,M,6,23,2022,10:12:08,R,Eat broccoli with right hand
Eat,M,Randy,Lcat,16,M,6,23,2022,10:14:54,R,Eat chow with right hand
Eat,P,Rico,Emon,5,M,6,28,2022,9:30:12,L,Grasp silverberry branch with left hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,28,2022,9:35:36,R,Grasp silverberry branch with right hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,28,2022,9:09:18,R,Grasp bamboo with right hand. Hold tree with 3 other limbs
Eat,P,Rico,Emon,5,M,6,28,2022,9:10:01,R,Grasp bamboo with right hand. Hold tree with 3 other limbs
Eat,P,Rico,Emon,5,M,6,28,2022,9:11:16,R,Grasp bamboo with right hand. Hold tree with 3 other limbs
Eat,P,Rico,Emon,5,M,6,28,2022,9:11:55,R,Grasp silverberry leaf with right hand. Hold tree with 3 other limbs
Eat,P,Rico,Emon,5,M,6,28,2022,9:12:28,R,Grasp silverberry leaf with right hand. Hold tree with 3 other limbs. Then add left hand.
Eat,P,Rico,Emon,5,M,6,28,2022,9:13:12,R,Grasp silverberry leaf with right hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,28,2022,9:13:52,R,Grasp silverberry leaf with right hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,28,2022,9:20:53,R,Grasp silverberry with right hand
Eat,P,Rico,Emon,5,M,6,28,2022,9:23:02,R,Hold branch with 3 other limbs
Eat,P,Rico,Emon,5,M,6,30,2022,9:20:14,R,Forage oak leaves with right hand
Eat,P,Rico,Emon,5,M,6,28,2022,9:14:48,R,Grasp and eat silverberry branch with right hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,28,2022,9:26:05,R,Grasp silverberry branch with and eat with right hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,28,2022,9:15:54,R,Grasp and eat silverberry branch with right hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,28,2022,9:17:50,R,Grasp and eat silverberry branch with right hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,28,2022,9:18:08,R,Grasp and eat silverberry branch with right hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,28,2022,9:18:20,R,Grasp and eat silverberry branch with right hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,30,2022,10:09:18,R,Forage and eat bamboo with right hand
Eat,P,Rico,Emon,5,M,6,30,2022,10:09:42,R,Forage and eat bamboo with right hand
Eat,P,Rico,Emon,5,M,6,28,2022,9:19:51,L,"Grasp silverberry with left hand, then hold with both hands."
Eat,P,Rico,Emon,5,M,6,28,2022,9:20:12,L,"Grasp silverberry with left hand, then hold with both hands."
Eat,P,Rico,Emon,5,M,6,28,2022,9:23:58,L,"Grasp branch with left hand, then add right hand. Hold tree with 3 other limbs."
Eat,P,Rico,Emon,5,M,6,28,2022,9:24:44,L,Grasp bamboo leaf with left hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,28,2022,9:25:26,L,Grasp silverberry branch with and eat with left hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,28,2022,9:25:55,L,Grasp silverberry branch with and eat with left hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,30,2022,9:21:37,L,Forage and eat oak hands with left hand
Eat,P,Rico,Emon,5,M,6,30,2022,9:22:34,L,Forage and eat oak hands with left hand
Eat,P,Rico,Emon,5,M,6,30,2022,9:38:13,L,Forage and eat silverberry with left hand
Eat,P,Rico,Emon,5,M,6,30,2022,10:13:37,L,Forage and eat silverberry with left hand
Eat,P,Rico,Emon,5,M,6,30,2022,10:15:04,L,Forage and eat silverberry with left hand
Eat,P,Rico,Emon,5,M,6,30,2022,9:26:53,R,"Grasp oak twig with left hand, but did not eat"
Eat,P,Rico,Emon,5,M,6,30,2022,9:33:34,L,Forage and eat bamboo leaf with left hand
Eat,P,Rico,Emon,5,M,6,30,2022,9:55:20,L,Forage and eat bamboo leaf with left hand
Eat,P,Rico,Emon,5,M,6,16,2022,11:15:19,R,Rico picks up food from bowl and eats it out of his right hand
Eat,P,Rico,Emon,5,M,6,16,2022,11:33:37,R,Rico picks up food and eats it from his right hand
Eat,P,Rico,Emon,5,M,6,16,2022,11:34:58,R,Rico picks up food and eats it from his right hand
Eat,P,Rico,Emon,5,M,6,16,2022,11:38:27,R,Rico grabs food and eats it using his right hand
Eat,P,Rico,Emon,5,M,6,16,2022,11:17:39,R,Rico holds food (cucumber slice) in right hand and eats it from his right hand
Eat,P,Rico,Emon,5,M,6,16,2022,11:23:00,L,Rico eats chow from his left hand
Eat,P,Rico,Emon,5,M,6,16,2022,11:24:32,L,Rico eats chow from his left hand
Eat,P,Rico,Emon,5,M,6,16,2022,11:28:21,L,Rico eats diet from left hand
Eat,P,Rico,Emon,5,M,6,16,2022,11:29:40,L,Rico switches the food to his left hand and eats out of his left hand.
Eat,P,Rico,Emon,5,M,6,16,2022,11:29:40,R,Rico fishes around food bowl with right hand and picks up a piece of food.
Eat,P,Rico,Emon,5,M,6,16,2022,11:34:23,L,Rico picks up food and eats it with his left hand
Eat,P,Rico,Emon,5,M,6,28,2022,9:08:21,R,"Grasp bamboo leaf with tight hand, then switch to left hand. Holding onto tree with 3 limbs."
Eat,P,Rico,Emon,5,M,6,30,2022,9:31:26,R,Forage silverberry with right hand
Eat,P,Rico,Emon,5,M,6,28,2022,9:15:16,L,Grasp silverberry branch with left hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,28,2022,9:16:58,L,Grasp silverberry branch with left hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,28,2022,9:17:33,L,Grasp silverberry branch with left hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,28,2022,9:18:48,L,Grasp silverberry branch with left hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,30,2022,9:37:40,L,Forage silverberry with left hand
Eat,P,Rico,Emon,5,M,6,30,2022,9:39:44,L,Forage silverberry with left hand
Eat,P,Rico,Emon,5,M,6,30,2022,10:07:39,L,Forage silverberry with left hand
Eat,P,Rico,Emon,5,M,6,30,2022,10:11:57,L,Forage silverberry with left hand
Eat,P,Rico,Emon,5,M,6,28,2022,9:17:13,R,Grasp silverberry branch with right hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,28,2022,9:19:09,R,Grasp silverberry branch with right hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,28,2022,9:19:30,R,Grasp silverberry branch with right hand. Hold tree with 3 other limbs.
Eat,P,Rico,Emon,5,M,6,30,2022,9:38:31,R,Forage silverberry with right hand
Eat,P,Rico,Emon,5,M,6,30,2022,9:39:02,R,Forage silverberry with right hand
Eat,P,Rico,Emon,5,M,6,30,2022,9:39:24,R,Forage silverberry with right hand
Eat,P,Rico,Emon,5,M,6,30,2022,10:07:12,R,Forage silverberry with right hand
Eat,P,Rico,Emon,5,M,6,30,2022,10:10:13,R,Forage silverberry with right hand
Eat,P,Rico,Emon,5,M,6,30,2022,10:11:27,R,Forage bamboo with right hand
Eat,P,Rico,Emon,5,M,6,30,2022,10:14:40,R,Forage silverberry with right hand
Eat,P,Rico,Emon,5,M,6,30,2022,10:15:34,R,Forage silverberry with right hand
Eat,P,Rico,Emon,5,M,6,30,2022,10:16:13,R,Forage silverberry with right hand
Eat,P,Rico,Emon,5,M,6,30,2022,10:16:40,R,Forage silverberry with right hand
Eat,P,Rico,Emon,5,M,6,30,2022,10:16:55,R,Forage silverberry with right hand
Eat,P,Rico,Emon,5,M,6,30,2022,10:17:19,R,Forage silverberry with right hand
Eat,P,Rico,Emon,5,M,6,30,2022,10:17:51,R,Forage silverberry with right hand
Eat,P,Rico,Emon,5,M,6,30,2022,10:18:18,R,Forage silverberry with right hand
Eat,P,Rico,Emon,5,M,6,30,2022,10:18:31,R,Forage silverberry with right hand
Eat,P,Rico,Emon,5,M,6,30,2022,9:29:41,L,Forage silverberry with left hand
Eat,P,Rico,Emon,5,M,6,30,2022,9:40:28,R,Reach for silverberry with right hand
Eat,N,Rupert,Pcoq,12,M,7,6,2022,9:33:59,L,Eat lettuce with left hand
Eat,N,Rupert,Pcoq,12,M,7,6,2022,9:34:12,L,Eat lettuce with left hand
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:00:16,L,Eat lettuce from diet with left hand
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:01:14,L,Eat chow from left hand
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:03:24,L,Eat lettuce from diet with left hand
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:05:47,L,Eat cucumber from diet with left hand
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:18:29,L,Eat chow from left hand
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:22:39,L,Eat kale from diet with left hand
Eat,N,Rupert,Pcoq,12,M,7,6,2022,9:14:42,R,Eat stick with right hand
Eat,N,Rupert,Pcoq,12,M,7,6,2022,9:15:07,R,Switch stick back to right hand and eat. Stop at 9:15:36
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:00:42,R,Eat chow from right hand
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:01:01,R,Eat chow from right hand
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:01:27,R,Eat chow from right hand
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:01:46,R,Eat carrot from diet with right hand
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:03:50,R,Eat carrot from diet with right hand
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:09:13,R,"Eat kale from diet with right hand. WHile doing so, grasp onto mesh wall with left hand."
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:10:15,R,Eat chow from right hand
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:12:05,R,Eat chow from right hand
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:13:19,R,Eat chow from right hand
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:18:50,R,Eat carrot from diet with right hand
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:21:34,R,Eat broccoli from diet with right had
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:29:21,R,Eat chow from right hand
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:41:17,R,Eat stick from right hand.
Eat,N,Rupert,Pcoq,12,M,7,12,2022,9:46:02,R,Eat chow from right hand
Eat,X,Sierra Mist,Lcat,14,F,6,29,2022,10:02:11,R,Grasp and eat from silverberry branch with right hand.
Eat,X,Sierra Mist,Lcat,14,F,6,29,2022,10:03:42,R,Grasp silverberry branch with right hand on top and eat.
Eat,X,Sierra Mist,Lcat,14,F,6,29,2022,9:59:24,L,"Grasp branch with both hands, but left hand on top."
Eat,X,Sierra Mist,Lcat,14,F,6,29,2022,10:01:18,L,"Grasp and eat from silverberry branch with both hands, but left hand on top."
Eat,X,Sierra Mist,Lcat,14,F,6,29,2022,10:03:54,L,Grasp silverberry branch with left hand on top and eat. Steadying branch with right hand on bottom.
Eat,X,Sierra Mist,Lcat,14,F,6,29,2022,9:39:00,R,Grasp and eat grass with rigth hand
Eat,X,Sierra Mist,Lcat,14,F,6,29,2022,9:39:18,R,Grasp and eat grass with rigth hand
Eat,X,Sierra Mist,Lcat,14,F,6,29,2022,10:01:49,L,Grasp and eat from silverberry branch with left hand.
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,10:18:44,L,Eat unknown grass with left hand
Eat,X,Sierra Mist,Lcat,14,F,6,22,2022,7:26:20,R,Sierra Mist forages (locust plant). She is grabbing the plant with her right hand on top.
Eat,X,Sierra Mist,Lcat,14,F,6,22,2022,8:12:50,R,Forages with right hand
Eat,X,Sierra Mist,Lcat,14,F,6,22,2022,8:16:43,R,Forages with right hand
Eat,X,Sierra Mist,Lcat,14,F,6,22,2022,8:18:45,R,Forages with right hand
Eat,X,Sierra Mist,Lcat,14,F,6,22,2022,7:27:36,R,Eats locust with right hand
Eat,X,Sierra Mist,Lcat,14,F,6,22,2022,8:05:09,R,Eats unknown plant from right hand
Eat,X,Sierra Mist,Lcat,14,F,6,22,2022,8:06:30,R,Sierra eats unknown leaf from her right hand
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,10:21:28,R,Eat chow from right hand
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,10:26:35,R,Eat chow from left hand
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,9:34:33,L,Forage and eat unknown grass with left hand
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,9:35:42,L,Forage and eat unknown grass with right hand
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,9:36:35,L,Forage and eat unknown grass with left hand
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,9:38:44,L,Forage and eat unknown grass with left hand
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,9:43:58,L,Forage and eat unknown grass with left hand
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,9:32:25,R,Forage and eat unknown grass with right hand
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,9:36:06,R,Forage and eat unknown grass with right hand
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,9:37:53,R,Forage and eat unknown grass with right hand
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,9:40:35,R,Forage and eat unknown grass with right hand
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,9:42:43,R,Forage and eat unknown grass with right hand
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,9:43:11,R,Forage and eat unknown grass with right hand
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,9:44:14,R,Forage and eat unknown grass with right hand
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,9:44:22,R,Forage and eat unknown grass with right hand
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,9:44:56,R,Forage and eat unknown grass with right hand
Eat,N,Sierra Mist,Lcat,14,F,7,5,2022,10:18:14,R,Forage and eat unknown grass with right hand
Eat,M,Sophia,Lcat,17,F,6,30,2022,10:36:57,L,Get chow out of bowl with mouth. Take chow out of mouth with left hand and eat from left hand.
Eat,M,Sophia,Lcat,17,F,6,30,2022,10:38:56,L,Get chow out of bowl with mouth. Take chow out of mouth with left hand and eat from left hand.
